"id","admin_id","date_time","function","operate"
"1082","43","28/5/2020 14:57:27","选举管理","修改"
"1083","43","28/5/2020 14:57:32","选举管理","查看"
"1084","43","28/5/2020 14:58:13","选举管理","新增"
"1085","43","28/5/2020 14:58:19","选举管理","查看"
"1086","43","28/5/2020 14:58:25","选举管理","查看"
"1087","43","28/5/2020 14:58:28","选举管理","修改"
"1088","43","28/5/2020 14:58:33","选举管理","查看"
"1089","43","28/5/2020 14:58:39","选举管理","查看"
"1090","43","28/5/2020 14:58:42","选举管理","修改"
"1091","1","28/5/2020 14:58:45","审批管理","查看"
"1092","1","28/5/2020 14:58:52","审批管理","修改"
"1093","1","28/5/2020 14:58:55","审批管理","通过"
"1094","1","28/5/2020 14:58:56","审批管理","查看"
"1095","1","28/5/2020 14:59:21","审批管理","查看"
"1096","1","28/5/2020 14:59:49","选举管理","查看"
"1097","1","28/5/2020 14:59:56","选举管理","查看"
"1098","1","28/5/2020 15:00:01","选举管理","修改"
"1099","43","28/5/2020 15:00:07","选举管理","查看"
"1100","1","28/5/2020 15:00:07","选举管理","查看"
"1101","43","28/5/2020 15:00:12","选举管理","查看"
"1102","1","28/5/2020 15:00:15","选举管理","修改"
"1103","43","28/5/2020 15:00:29","选举管理","查看"
"1104","43","28/5/2020 15:00:31","选举管理","修改"
"1105","43","28/5/2020 15:00:44","选举管理","查看"
"1106","43","28/5/2020 15:01:01","选举管理","查看"
"1107","43","28/5/2020 15:01:18","选举管理","查看"
"1108","43","28/5/2020 15:01:55","选举管理","查看"
"1109","43","28/5/2020 15:01:57","选举管理","修改"
"1110","43","28/5/2020 15:02:09","选举管理","查看"
"1111","43","28/5/2020 15:02:13","选举管理","查看"
"1112","1","28/5/2020 15:04:05","账号管理","查看"
"1113","1","28/5/2020 15:04:13","账号管理","修改"
"1114","1","28/5/2020 15:04:26","账号管理","查看"
"1115","1","28/5/2020 15:16:15","组织管理","查看"
"1116","43","28/5/2020 15:21:43","选举管理","查看"
"1117","43","28/5/2020 15:21:49","选举管理","查看"
"1118","43","28/5/2020 15:21:51","选举管理","查看"
"1119","43","28/5/2020 15:21:53","选举管理","查看"
"1120","43","28/5/2020 15:21:56","选举管理","查看"
"1121","43","28/5/2020 15:21:58","选举管理","查看"
"1122","43","28/5/2020 15:22:01","选举管理","查看"
"1123","43","28/5/2020 15:22:07","选举管理","查看"
"1124","43","28/5/2020 15:22:11","选举管理","查看"
"1125","43","28/5/2020 15:22:12","选举管理","修改"
"1126","43","28/5/2020 15:22:21","选举管理","查看"
"1127","43","28/5/2020 15:23:06","选举管理","查看"
"1128","43","28/5/2020 15:25:17","选举管理","查看"
"1129","1","28/5/2020 15:35:36","选举管理","查看"
"1130","1","28/5/2020 15:50:30","选举管理","查看"
"1131","1","28/5/2020 15:57:28","选举管理","查看"
"1132","1","28/5/2020 16:03:04","选举管理","查看"
"1133","1","28/5/2020 16:06:25","选举管理","查看"
"1134","1","28/5/2020 16:07:38","选举管理","查看"
"1135","1","28/5/2020 16:09:00","选举管理","查看"
"1136","1","28/5/2020 16:09:39","选举管理","新增"
"1137","1","28/5/2020 16:09:49","选举管理","查看"
"1138","1","28/5/2020 16:09:54","选举管理","查看"
"1139","1","28/5/2020 16:10:03","选举管理","修改"
"1140","1","28/5/2020 16:10:11","选举管理","查看"
"1141","1","28/5/2020 16:10:16","选举管理","查看"
"1142","1","28/5/2020 16:10:28","选举管理","修改"
"1143","1","28/5/2020 16:13:15","选举管理","查看"
"1144","1","28/5/2020 16:13:30","选举管理","修改"
"1145","1","28/5/2020 16:13:36","选举管理","查看"
"1146","1","28/5/2020 16:13:40","选举管理","查看"
"1147","1","28/5/2020 16:13:49","选举管理","查看"
"1148","1","28/5/2020 16:13:55","选举管理","修改"
"1149","1","28/5/2020 16:13:58","选举管理","查看"
"1150","1","28/5/2020 16:14:02","选举管理","查看"
"1151","1","28/5/2020 16:14:09","选举管理","查看"
"1152","1","28/5/2020 16:14:25","选举管理","修改"
"1153","1","28/5/2020 16:14:40","选举管理","查看"
"1154","1","28/5/2020 16:14:47","选举管理","查看"
"1155","1","28/5/2020 16:14:55","选举管理","修改"
"1156","1","28/5/2020 16:15:01","选举管理","查看"
"1157","1","28/5/2020 16:15:06","选举管理","查看"
"1158","1","28/5/2020 16:15:18","选举管理","修改"
"1159","1","28/5/2020 16:15:21","选举管理","查看"
"1160","1","28/5/2020 16:15:26","选举管理","查看"
"1161","1","28/5/2020 16:15:34","选举管理","查看"
"1162","1","28/5/2020 16:15:56","选举管理","修改"
"1163","1","28/5/2020 16:15:57","选举管理","查看"
"1164","1","28/5/2020 16:16:03","选举管理","修改"
"1165","1","28/5/2020 16:16:04","选举管理","查看"
"1166","1","28/5/2020 16:16:08","选举管理","修改"
"1167","1","28/5/2020 16:16:09","选举管理","查看"
"1168","1","28/5/2020 16:16:54","选举管理","新增"
"1169","1","28/5/2020 16:16:58","选举管理","查看"
"1170","1","28/5/2020 16:17:03","选举管理","查看"
"1171","1","28/5/2020 16:17:07","选举管理","查看"
"1172","1","28/5/2020 16:17:11","选举管理","修改"
"1173","1","28/5/2020 16:17:13","选举管理","查看"
"1174","1","28/5/2020 16:17:18","选举管理","查看"
"1175","1","28/5/2020 16:17:21","选举管理","查看"
"1176","1","28/5/2020 16:17:31","选举管理","修改"
"1177","1","28/5/2020 16:17:32","选举管理","查看"
"1178","1","28/5/2020 16:17:40","选举管理","查看"
"1179","1","28/5/2020 16:17:46","选举管理","修改"
